T2M,T2M_RANGE,RH2M,GWETTOP,Cluster_Label,PCACOMP1,PCACOMP2,PCACOMP3
24.166666666666668,6.551333333333333,77.96733333333333,0.5873333333333334,1,-1.7800822548783557,-0.4335737723955237,-1.6273745277141012
24.581666666666667,5.71,79.53166666666667,0.5650000000000001,1,-1.4790686457018472,-0.31270258267057943,-0.8598690374963911
24.756,6.982000000000001,80.534,0.611,1,-1.3369501470943221,-0.41249493535359705,-0.3814132622076839
25.878333333333334,8.3925,71.65416666666667,0.48,0,-1.7301788358856287,-0.10136613542152684,-1.3686703973709102
27.59,7.645,72.365,0.43333333333333335,0,-1.0808539117145461,-0.1878886298614285,0.9289045795197256
27.806,7.259,74.001,0.445,0,-0.8287791600784079,-0.3875621746292417,1.5595827661836812
28.790000000000003,9.501333333333333,68.40733333333333,0.412,0,-1.0508739035965267,-0.24149951287648064,0.716831139501797
27.858333333333334,7.421666666666667,72.84833333333333,0.46166666666666667,0,-0.18155846062049993,0.5945144963438268,0.34956002780235074
28.642000000000003,9.101,70.386,0.42699999999999994,0,-0.25561180560013624,0.703237402092964,0.6455582287985999
27.828666666666667,7.560666666666666,71.82466666666666,0.4233333333333333,0,-0.4651771835268978,0.9131521747085715,0.5433909093824644
27.635,7.596666666666667,73.99166666666667,0.4566666666666667,0,-0.041298546840435164,0.7994172777847918,0.29856866692160583
26.641,6.5120000000000005,81.061,0.5599999999999999,1,0.7495595520569885,-0.09277051136660723,-0.27730553958867166
27.299285714285713,7.802142857142857,79.25857142857141,0.5521428571428572,1,0.7604345822963526,-0.06391351526046916,0.11012495052568903
28.128333333333334,9.051666666666668,73.715,0.4566666666666667,0,0.4318858395577559,0.6313462222531109,0.03021557551452789
27.951999999999998,8.72,70.672,0.45099999999999996,0,-0.3134899414046964,1.4037503313491266,-0.08528619656260572
26.77733333333333,6.666666666666667,81.15599999999999,0.5693333333333332,1,0.7332849064994219,0.34406927968138823,0.3177440382371963
26.761666666666667,7.745,80.29666666666667,0.5599999999999999,1,0.9231881082668247,0.4233164069893158,-0.43897638542006706
26.836000000000002,7.251,77.49600000000001,0.557,1,0.6555403240240425,0.6609564637246262,-0.8622219421599571
25.52857142857143,6.014285714285714,83.6857142857143,0.6342857142857143,1,0.485749346920377,0.9111485496382482,-0.1748028245716141
25.166666666666668,4.046666666666667,88.24666666666667,0.6816666666666666,1,0.78393018000426,1.0274675538141405,0.5202826540094747
24.767,7.003,80.178,0.612,1,0.25139804203039323,1.2841854615014814,-2.3993471920891594
25.192666666666664,4.752666666666667,85.67066666666666,0.6519999999999999,1,0.7216030443158931,1.0099348730614295,-0.2788153956661444
25.091666666666665,5.138333333333334,81.61833333333333,0.5516666666666666,1,-0.8540288845231911,-1.2811384242053723,-0.4065299328951839
24.878,6.906000000000001,75.838,0.514,0,-1.913106595617345,-0.22468000886719564,-0.9650059455870807
25.14466666666667,7.804,70.938,0.45733333333333337,0,-2.1042378436525713,-0.04355063313585401,-1.1574002489453612
26.176666666666666,8.808333333333334,71.82833333333333,0.42,0,-1.8303457325883958,0.07443412486198153,-0.6920258274051239
25.547,10.135,68.689,0.40199999999999997,0,-2.025282020722198,0.23047849807362852,-1.1640637098768536
26.622500000000002,10.194166666666666,67.9275,0.365,0,-2.0315521310066518,0.23860240167913163,-1.1494000072135435
27.91,9.975,68.33,0.3383333333333334,0,-1.534831092058041,0.1763987475120444,-0.161906148429079
