Cluster_Label,T2M,T2M_RANGE,RH2M,GWETTOP,PCACOMP1,PCACOMP2
1,-1.2773576836391654,-1.3837901881081687,1.1358651399368203,0.5421064061908122,1.1408963222637403,1.002092171492871
1,-1.7919427642362844,-0.9015920423723719,0.6111833519096589,0.9243767980312279,0.6536129804028664,0.5921332365944066
1,-1.8418172749597175,0.0848842232761926,0.07950754435340499,0.19768456799796338,0.3726674563671978,-0.10283164900995763
1,-1.2356172132912306,0.4422592891889492,-0.2420870306395648,-0.2716374972318542,-0.5560824006832734,1.0620066033941276
0,-0.26873667707775273,-0.034062734386847066,-0.12032158504922304,-0.5403622281295724,-0.8304002642195378,0.8227875139420802
0,0.6095256297816376,1.7946577075284522,-0.8859929590244464,-0.7873240406799393,-0.8413795634606823,0.15916201177021547
0,0.8888657005716729,2.109831532473933,-1.4176036049080687,-0.9339871860642568,-0.8767518158909848,-0.0456116152840866
0,1.0008157825817785,1.2560131761950755,-1.119510673177452,-0.8469355126748553,-0.708987402926151,-0.38281975117404393
0,1.0059530712399876,0.8630252487065595,-0.804953558828662,-0.6576927444370263,-0.6262758969351521,-0.4246792890731036
0,1.4079459087447246,0.8802974865708026,-1.0172937293764985,-0.8204415251215593,-0.5467963515531815,-0.44630669133993645
0,1.4869317218646636,0.7939362972495833,-1.2164712420528143,-0.9320947583818787,-0.5108839517819479,-0.2238611860510709
0,1.983138763869032,1.9165045696340905,-1.617680969254053,-0.9069525048874244,-0.6465623250441106,0.3525698462885877
0,1.257038054409879,0.6042978093586595,-0.7429630875987613,-0.44195598864590085,0.029254495438747447,-0.42865284628208017
0,0.5294695481912374,-0.31397982637232436,0.2664781036901238,-0.07482501826451124,0.2221053619067454,-0.25400901712316293
0,0.5842672938787851,0.004399156114974274,-0.2644592049096398,-0.39275286890406497,0.25331115501348483,-0.2802158197906302
0,0.4564772385058697,-0.07323688212018353,-0.5131595887857385,-0.5081909575291411,-0.5327764027435643,0.21454879821129788
0,0.4761701783623354,0.14542608795498585,-0.610207039891275,-0.6652624551665393,-1.0115353527983841,-0.10108515086513992
0,1.12952321092937,1.037375643878175,-1.1442348735358396,-0.8096276526508268,-1.219128977894411,-0.46779092181131926
0,0.3601530761644819,0.29891752134651317,-0.997093610860798,-0.8204415251215593,-1.2134256642531949,-0.3214620414533581
0,0.30086020290100396,0.47288635014410363,-0.7454826722738382,-0.8582900787691251,-1.1232915919245166,-0.15684427793119265
0,0.7931836993125573,0.9502767595671721,-1.2941005147142257,-1.0399631362774415,-0.9816554706851686,-0.10706273682458785
0,0.07974273690398537,0.00956302104345921,-0.763163206114462,-0.8204415251215593,-0.7773481236083186,-0.5147876802506618
0,-0.17562332014774173,0.3072865438168167,-0.45147320536144764,-0.3530118875741208,-0.7387078969338178,-0.43377715237399617
0,0.6514801538236668,0.9456470875623233,-0.9970501697457108,-0.6652624551665393,-0.6914710378201548,-0.32083194428067313
0,0.9787682520903049,1.3851097994072075,-1.3320246081856388,-0.8015172482977766,-0.707038882357928,0.23796366404987224
0,0.709916812310778,0.5850668641077486,-0.8695504969638177,-0.7050034364964841,-0.477005058790937,-0.10943730497034816
0,0.43231975017263763,0.8439214922469905,-0.7952475725433934,-0.6474195655898298,-0.22397227836780892,-0.02973029278757081
0,0.8118063706985572,1.1776648807284036,-1.2712070470630996,-0.8582900787691258,-0.241368939528347,0.4660480837009531
0,0.9988892993349505,1.2490686681878023,-1.113906769331162,-0.846935512674856,-0.05539715626948245,1.3866137033990198
1,-0.438481256492695,-0.9115636436135852,0.7835142554618801,0.1371268821618577,0.7561177469585301,0.8948753350961723
1,-0.7272396898227752,-0.4525138579020325,1.12761132807019,0.5231821293670301,1.117648190437301,1.174670325516615
1,-0.4543212298555026,0.13260545778771207,0.15022967971589976,-0.012374904746027468,1.0243299673549227,1.780838075486436
1,-0.30111994308395645,-0.8628248987713296,0.5320026108522647,-0.29461697623216193,1.3120307353433076,1.459554503380644
1,-0.5934561310152908,-1.2466806710414913,0.826347194938184,-0.00669762169889321,1.929461925807368,0.21963253926651025
1,-0.6585284540192501,-0.8925107626705528,0.3947162754285073,-0.19972524530147878,2.3671247534941213,-0.36528810442862253
1,-0.8931313027440594,-0.6704645707456868,0.667265831487658,-0.1921555345719658,2.2976589326387384,-0.605802718658214
1,-0.6887100248862197,0.07010488572225246,0.15713681701481633,-0.3189481892913121,1.7588941462864065,-0.32167803093976716
1,-0.6469695545382828,-0.29368049527414125,-0.05007730195269026,-0.5460395111767072,1.7204448053867791,-1.6935638384487455
1,-0.9920241094145541,0.09592421036467856,-0.45690334474738925,-0.5365773727648155,0.25168097585406135,0.15616337683898196
0,-0.19638652847466861,0.9987102513102066,-0.8787165722472847,-0.8015172482977766,0.0632610711790506,-0.2649535703200885
0,-0.9064026317777647,1.5920205251623762,-1.2988355962587659,-0.86396736181626,-0.8072856438918484,0.7736951639829733
0,-0.016581425437402434,0.9501877274132325,-1.169989248909159,-0.9954910857415519,-0.9756594247194479,0.4468222045965142
0,0.32162341122792404,0.32918845368591004,-0.25989788782544987,-0.8488279403572341,-0.8084268845094865,-0.1921787620952474
0,0.33489474026162935,2.7699159217806537,-1.6483628082530175,-1.1535087972201394,-0.8122586566163565,-0.16120844404472065
0,1.2709515445258588,1.4737858247308522,-1.4749893179386924,-1.4865760693187193,-0.5903531630126013,-0.5015495171808563
0,0.8599684518692545,0.4814334369222852,-0.798784920486234,-0.8109793867096676,-0.679028388161128,-0.1629137999030102
0,1.3803329822068595,1.0599643732205146,-1.2254635528759328,-0.920740192287609,-0.6102088024342418,-0.01102393944976859
0,1.9730476611475511,1.769219949260052,-1.8142830443930382,-1.280031105127717,-0.6936640918016864,0.45345367937342285
0,2.910602841270424,2.118734747867873,-2.3528908127425443,-1.7004203974274668,-0.6706189511532742,1.0706845563571277
0,2.3063292628487626,0.730901532260488,-1.8851603265951309,-1.698527969745088,-0.44481180043879137,1.1747523506571427
