,Date,T2M,T2MDEW,T2M_RANGE,RH2M,GWETTOP,1_month_rainfall_aggregate,Cluster_Label,GMM_Cluster_Label
2,1981-01-21,24.166666666666668,19.898666666666667,6.551333333333333,77.96733333333333,0.5873333333333334,89.5776,1,1
3,1981-02-01,24.581666666666667,20.551666666666666,5.71,79.53166666666667,0.5650000000000001,72.4396,1,1
4,1981-02-11,24.756,20.961000000000002,6.982000000000001,80.534,0.611,65.25,1,1
5,1981-02-21,25.878333333333334,19.99833333333333,8.3925,71.65416666666667,0.48,64.6379,0,0
6,1981-03-01,27.59,21.834999999999997,7.645,72.365,0.43333333333333335,8.1034,0,0
7,1981-03-11,27.806,22.451,7.259,74.001,0.445,8.6293,0,0
8,1981-03-21,28.790000000000003,21.763333333333332,9.501333333333333,68.40733333333333,0.412,25.6552,0,0
9,1981-04-01,29.72666666666667,22.435,10.225,67.68833333333333,0.3983333333333334,58.6379,0,0
10,1981-04-11,28.5,23.766,6.728999999999999,77.11699999999999,0.479,70.75,0,0
11,1981-04-21,29.520714285714288,23.083571428571428,8.689285714285715,70.57714285714285,0.42214285714285715,69.1207,0,0
12,1981-05-01,28.998333333333335,22.715,7.013333333333333,70.42,0.4283333333333333,136.6466,0,0
13,1981-05-11,28.481,22.884999999999998,7.1240000000000006,73.37,0.46699999999999997,188.3534,0,0
14,1981-05-21,29.502666666666666,22.962666666666667,8.556000000000001,69.97933333333334,0.4246666666666667,208.9396,0,0
15,1981-06-01,28.573333333333334,22.868333333333336,7.4316666666666675,73.005,0.42,110.0086,0,0
16,1981-06-11,28.167,22.86,6.851000000000001,74.194,0.445,43.7931,0,0
17,1981-06-21,27.76214285714286,22.146428571428572,7.3878571428571425,73.1907142857143,0.44499999999999995,8.7931,0,0
18,1981-07-01,28.27333333333333,21.888333333333335,9.385,70.735,0.4283333333333333,8.5086,0,0
19,1981-07-11,28.312,22.139,8.059000000000001,70.99199999999999,0.42699999999999994,40.75,0,0
20,1981-07-21,26.919333333333334,22.776666666666664,6.248666666666667,79.29133333333333,0.52,93.4052,0,0
21,1981-08-01,27.858333333333334,22.155,7.421666666666667,72.84833333333333,0.46166666666666667,97.8966,0,0
22,1981-08-11,28.642000000000003,22.217000000000002,9.101,70.386,0.42699999999999994,68.4224,0,0
