Date,T2M,T2MDEW,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS2M,WS2M_MAX,WS2M_MIN,GWETTOP,GWETROOT,GWETPROF,1_month_rainfall_aggregate,1_month_rainfall_aggregate_avg
1990-01-01,25.438333333333333,22.776666666666667,25.558333333333334,4.303333333333334,27.983333333333334,23.680000000000003,17.335,85.625,100.55833333333334,3.731666666666667,5.241666666666666,2.311666666666667,0.6466666666666666,0.5783333333333334,0.5766666666666667,246.112,301.2839
1990-01-11,24.637,21.199,24.792,5.206,27.725,22.518,15.753,81.599,100.673,2.9850000000000003,4.245,2.019,0.714,0.6679999999999999,0.659,201.8966,237.2716
1990-01-21,24.55933333333333,20.20266666666667,24.854,7.052666666666666,28.532,21.48,14.798666666666666,77.51933333333334,100.67,2.5866666666666664,3.8026666666666666,1.5846666666666667,0.5860000000000001,0.5713333333333334,0.5806666666666668,192.2845,180.1767
1990-02-01,25.503333333333334,20.528333333333332,26.28,7.721666666666667,29.900000000000002,22.179999999999996,15.055,75.05166666666666,100.71333333333332,3.0316666666666667,4.255,1.9133333333333333,0.5033333333333333,0.5216666666666666,0.5283333333333333,40.6034,143.8716
1990-02-11,27.009000000000004,22.133,27.867,6.83,30.994,24.167,16.651,75.986,100.651,3.6339999999999995,4.939,2.305,0.45599999999999996,0.49000000000000005,0.497,15.9914,107.4868
1990-02-21,28.376666666666665,21.724166666666665,29.86,10.253333333333332,34.10666666666666,23.852500000000003,16.311666666666667,70.11083333333333,100.3925,2.0575,3.388333333333333,0.815,0.41250000000000003,0.455,0.46166666666666667,37.6552,77.2302
1990-03-01,28.811666666666667,21.048333333333332,30.451666666666668,10.843333333333334,34.93833333333333,24.09,15.705,66.03166666666667,100.41833333333334,2.2483333333333335,3.94,0.8916666666666666,0.3866666666666667,0.43333333333333335,0.44166666666666665,40.5086,64.8802
1990-03-11,28.986,21.963,30.569,9.245000000000001,34.398,25.149,16.53,68.319,100.69,2.465,4.013,1.301,0.402,0.425,0.42800000000000005,72.2931,65.8649
1990-03-21,28.994000000000003,22.63,30.425333333333334,8.509333333333334,33.96066666666666,25.451999999999998,17.228,70.73266666666667,100.45933333333333,2.598666666666667,4.107333333333333,1.2926666666666666,0.43533333333333335,0.45066666666666666,0.448,83.6552,71.8262
1990-04-01,29.62,22.828333333333333,30.996666666666666,8.541666666666666,34.57,26.033333333333335,17.466666666666665,69.10333333333334,100.305,2.2733333333333334,3.6016666666666666,0.9916666666666667,0.4066666666666667,0.43333333333333335,0.44,93.931,78.3716
1990-04-11,29.743000000000002,22.606,31.087,8.379999999999999,34.584999999999994,26.206,17.262,67.575,100.14,2.037,3.177,0.899,0.387,0.418,0.42400000000000004,90.5345,91.55
1990-04-21,30.51571428571429,22.304285714285715,32.14714285714286,10.481428571428571,36.41642857142857,25.93357142857143,16.946428571428573,64.49642857142858,100.22928571428572,2.3721428571428573,3.8114285714285714,1.195,0.39142857142857146,0.41571428571428565,0.41714285714285715,54.3103,104.1287
1990-05-01,29.385,23.150000000000002,30.38,8.025,34.055,26.028333333333336,17.871666666666666,71.20833333333333,100.03333333333335,2.7583333333333333,4.296666666666667,1.1216666666666666,0.47333333333333333,0.43,0.42333333333333334,162.3793,133.4764
1990-05-11,28.252,24.018,28.576999999999998,6.306,31.901999999999997,25.597,18.829,78.954,99.96000000000001,2.959,4.575,1.6350000000000002,0.538,0.52,0.509,179.4483,159.3523
1990-05-21,28.337333333333333,23.161333333333335,29.00133333333333,6.902,32.36266666666667,25.461333333333336,17.817333333333334,74.88000000000001,100.17866666666667,5.341333333333334,7.059333333333333,3.6053333333333333,0.48200000000000004,0.49599999999999994,0.4953333333333333,184.1034,161.1474
1990-06-01,28.138333333333335,22.55333333333333,28.724999999999998,6.756666666666667,32.096666666666664,25.34166666666667,17.169999999999998,72.97166666666666,100.10666666666667,5.43,6.739999999999999,4.376666666666666,0.46166666666666667,0.48,0.48,72.7328,108.7931
